obj requests,obj changes reflected,obj persisted,obj served RTT,obj persisted RTT,serve time av,perist time av,window size
"38","1","1","4283","3281","4283","3281","500",
"38","2","1","4186","3281","4235","3281","500",
"38","3","1","4087","3281","4185","3281","500",
"38","4","1","3988","3281","4136","3281","500",
"38","5","1","3888","3281","4086","3281","500",
"38","6","1","3787","3281","4037","3281","500",
"43","7","2","4153","3246","4053","3264","500",
"43","8","2","4053","3246","4053","3264","500",
"43","9","2","3953","3246","4042","3264","500",
"43","10","2","3853","3246","4023","3264","500",
"43","11","2","3754","3246","3999","3264","500",
"50","12","3","4356","3447","4028","3325","500",
"50","13","3","4256","3447","4046","3325","500",
"50","14","3","4155","3447","4054","3325","500",
"50","15","3","4056","3447","4054","3325","500",
"50","16","3","3955","3447","4048","3325","500",
"50","17","4","4324","3415","4064","3347","500",
"50","18","4","4225","3415","4073","3347","500",
"50","19","4","4125","3415","4076","3347","500",
"50","20","4","4025","3415","4073","3347","500",
"50","21","4","3926","3415","4066","3347","500",
"50","22","5","4293","3383","4076","3354","500",
"50","23","5","4193","3383","4081","3354","500",
"50","24","5","4094","3383","4082","3354","500",
"50","25","5","3993","3383","4078","3354","500",
"50","26","5","3893","3383","4071","3354","500",
"50","27","6","4496","3583","4087","3393","500",
"50","28","6","4395","3583","4098","3393","500",
"50","29","6","4296","3583","4105","3393","500",
"50","30","6","4195","3583","4108","3393","500",
"50","31","6","4096","3583","4107","3393","500",
"50","32","7","4463","3551","4119","3415","500",
"50","33","7","4365","3551","4126","3415","500",
"50","34","7","4264","3551","4130","3415","500",
"50","35","7","4164","3551","4131","3415","500",
"50","36","7","4065","3551","4129","3415","500",
"50","37","8","4667","3752","4144","3457","500",
"50","38","8","4567","3752","4155","3457","500",
"50","39","8","4466","3752","4163","3457","500",
"50","40","8","4367","3752","4168","3457","500",
"50","41","8","4267","3752","4170","3457","500",
"50","42","9","4637","3721","4182","3487","500",
"50","43","9","4537","3721","4190","3487","500",
"50","44","9","4437","3721","4195","3487","500",
"50","45","9","4336","3721","4199","3487","500",
"50","46","9","4236","3721","4199","3487","500",
"50","47","10","4841","3924","4213","3530","500",
"50","48","10","4740","3924","4224","3530","500",
"50","49","10","4641","3924","4232","3530","500",
"50","50","10","4540","3924","4239","3530","500",
